City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Alta Floresta,BR,2020-10-31 17:36:30,-9.88,-56.09,90.61,48,100,4.0
101,Mattru,SL,2020-10-31 17:37:08,7.62,-11.83,78.82,90,50,3.85
102,Okha,RU,2020-10-31 17:37:03,53.57,142.95,34.56,89,96,7.83
103,Belaya Gora,RU,2020-10-31 17:37:09,68.53,146.42,-8.9,91,99,4.88
104,Margate,GB,2020-10-31 17:36:37,51.38,1.39,55.0,81,62,4.0
105,Atuona,PF,2020-10-31 17:37:09,-9.8,-139.03,78.31,76,15,18.48
106,Pouembout,NC,2020-10-31 17:37:09,-21.13,164.9,73.35,82,48,5.93
107,Obuasi,GH,2020-10-31 17:37:10,6.21,-1.66,75.79,91,51,2.37
108,Ajdabiya,LY,2020-10-31 17:37:10,30.76,20.23,70.11,59,22,13.18
109,Upernavik,GL,2020-10-31 17:33:07,72.79,-56.15,16.14,94,72,12.62
110,Nome,US,2020-10-31 17:33:08,64.5,-165.41,14.0,78,1,4.7
111,Aklavik,CA,2020-10-31 17:36:03,68.22,-135.01,-4.0,83,75,3.36
112,Namatanai,PG,2020-10-31 17:37:11,-3.67,152.43,80.2,79,90,6.29
113,Itarema,BR,2020-10-31 17:33:13,-2.92,-39.92,86.13,60,97,17.96
114,Barrow,US,2020-10-31 17:33:54,71.29,-156.79,26.6,68,90,9.17
115,Borba,BR,2020-10-31 17:37:11,-4.39,-59.59,95.65,43,80,2.1
116,Gladstone,AU,2020-10-31 17:37:12,-23.85,151.25,75.2,78,8,4.7
117,Mayo,US,2020-10-31 17:37:12,38.89,-76.51,48.2,65,90,4.7
118,Muisne,EC,2020-10-31 17:37:12,0.6,-80.03,84.2,79,40,9.17
119,Pevek,RU,2020-10-31 17:37:12,69.7,170.31,12.78,96,99,10.04
120,Maniitsoq,GL,2020-10-31 17:37:13,65.42,-52.9,20.95,86,85,5.17
121,Bluff,NZ,2020-10-31 17:35:54,-46.6,168.33,46.99,81,38,5.01
122,Cayenne,GF,2020-10-31 17:37:13,4.93,-52.33,89.6,62,75,12.75
123,Talnakh,RU,2020-10-31 17:37:14,69.49,88.4,19.4,92,90,35.79
124,Alofi,NU,2020-10-31 17:37:14,-19.06,-169.92,73.4,94,81,10.29
125,Hami,CN,2020-10-31 17:36:01,42.8,93.45,35.46,72,0,3.13
126,Ilulissat,GL,2020-10-31 17:34:03,69.22,-51.1,17.6,67,75,6.93
127,Georgetown,MY,2020-10-31 17:37:15,5.41,100.34,75.2,94,40,3.36
128,Chabahar,IR,2020-10-31 17:37:15,25.29,60.64,72.99,54,0,6.98
129,Kushiro,JP,2020-10-31 17:34:05,42.98,144.37,41.63,83,92,3.71
130,Luderitz,NA,2020-10-31 17:37:15,-26.65,15.16,68.65,42,32,25.41
131,Camana,PE,2020-10-31 17:37:16,-16.62,-72.71,68.63,67,96,8.48
132,Yellowknife,CA,2020-10-31 17:37:16,62.46,-114.35,19.99,85,90,17.22
133,Nanakuli,US,2020-10-31 17:37:16,21.39,-158.15,71.6,88,20,4.7
134,Izumo,JP,2020-10-31 17:37:17,35.37,132.77,50.0,87,75,8.05
135,Deputatskiy,RU,2020-10-31 17:37:17,69.3,139.9,-8.66,91,95,4.9
136,Ulaangom,MN,2020-10-31 17:37:17,49.98,92.07,27.57,88,54,2.73
137,Coquimbo,CL,2020-10-31 17:37:17,-29.95,-71.34,57.2,76,75,9.17
138,Carutapera,BR,2020-10-31 17:33:39,-1.2,-46.02,87.53,57,24,10.13
139,Bressuire,FR,2020-10-31 17:37:18,46.92,-0.5,59.0,94,88,13.8
140,Provideniya,RU,2020-10-31 17:34:01,64.38,-173.3,21.22,87,95,6.73
141,Codrington,AU,2020-10-31 17:33:43,-38.27,141.97,46.69,89,16,2.93
