City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Currrent Description
137,French Harbor,HN,16.35,-86.43,80.6,94,90,17.22,2020-11-01 22:46:15,shower rain
138,Benguela,AO,-12.58,13.41,77.22,81,39,3.89,2020-11-01 22:46:16,scattered clouds
139,Havoysund,NO,71.0,24.66,41.0,81,0,16.11,2020-11-01 22:46:16,clear sky
140,Georgetown,MY,5.41,100.34,78.8,88,20,3.36,2020-11-01 22:45:49,thunderstorm
141,Zhezkazgan,KZ,47.8,67.71,36.88,63,34,2.01,2020-11-01 22:46:16,scattered clouds
142,Boa Esperanca,BR,-21.09,-45.57,62.02,84,31,9.66,2020-11-01 22:46:17,scattered clouds
143,Betong,TH,5.77,101.07,71.24,93,100,1.14,2020-11-01 22:46:17,overcast clouds
144,San Isidro,PE,-12.12,-77.05,66.2,72,90,11.41,2020-11-01 22:46:17,overcast clouds
145,Riva,US,38.95,-76.58,57.99,91,65,1.01,2020-11-01 22:46:17,broken clouds
146,Pevek,RU,69.7,170.31,15.24,93,98,11.5,2020-11-01 22:46:18,overcast clouds
147,Morant Bay,JM,17.88,-76.41,79.0,94,75,24.16,2020-11-01 22:46:18,shower rain
148,Yulara,AU,-25.24,130.99,78.8,15,26,9.17,2020-11-01 22:46:18,scattered clouds
149,Kiunga,PG,-6.12,141.29,76.93,96,98,0.47,2020-11-01 22:46:18,overcast clouds
150,Syracuse,IT,37.09,15.28,60.01,93,0,5.82,2020-11-01 22:46:19,clear sky
151,Flinders,AU,-34.58,150.86,68.0,71,75,5.01,2020-11-01 22:46:19,broken clouds
152,Bredasdorp,ZA,-34.53,20.04,64.4,88,47,10.29,2020-11-01 22:46:19,scattered clouds
153,Port Alfred,ZA,-33.59,26.89,64.87,86,26,18.48,2020-11-01 22:46:19,scattered clouds
154,Altona,DE,53.55,9.93,61.0,93,100,12.75,2020-11-01 22:46:20,light rain
155,Atar,MR,20.52,-13.05,81.88,17,100,6.89,2020-11-01 22:46:20,overcast clouds
156,Sept-Iles,CA,50.2,-66.38,37.4,69,100,5.82,2020-11-01 22:46:20,overcast clouds
157,Cayenne,GF,4.93,-52.33,80.6,94,97,2.24,2020-11-01 22:46:20,moderate rain
158,Lufilufi,WS,-13.87,-171.6,87.8,70,75,4.7,2020-11-01 22:46:21,broken clouds
159,Nongan,CN,44.38,125.17,26.6,63,0,6.71,2020-11-01 22:46:21,clear sky
160,Caravelas,BR,-17.71,-39.25,71.02,84,100,9.98,2020-11-01 22:46:21,overcast clouds
161,Havre-Saint-Pierre,CA,50.23,-63.6,39.2,86,90,13.87,2020-11-01 22:46:21,overcast clouds
162,Sur,OM,22.57,59.53,70.23,33,0,4.76,2020-11-01 22:46:22,clear sky
163,Beloha,MG,-25.17,45.05,66.81,80,16,16.96,2020-11-01 22:46:22,few clouds
164,Sitka,US,57.05,-135.33,46.4,87,90,5.82,2020-11-01 22:46:22,mist
165,Saint-Augustin,CA,51.23,-58.65,36.95,88,83,23.55,2020-11-01 22:43:05,broken clouds
166,Shimoda,JP,34.67,138.95,57.99,81,24,1.99,2020-11-01 22:46:22,few clouds
167,San Jeronimo,PE,-11.95,-75.28,57.67,58,46,3.56,2020-11-01 22:46:23,light rain
168,Margate,GB,51.38,1.39,63.0,88,100,13.0,2020-11-01 22:46:23,overcast clouds
169,Aklavik,CA,68.22,-135.01,10.4,85,99,2.24,2020-11-01 22:42:09,overcast clouds
170,Luanda,AO,-8.84,13.23,77.0,88,75,5.82,2020-11-01 22:41:32,broken clouds
171,Melioratorov,RU,57.21,65.61,24.8,92,0,4.47,2020-11-01 22:46:24,clear sky
172,Westport,US,41.14,-73.36,54.0,97,100,4.43,2020-11-01 22:46:24,light rain
173,Skibbereen,IE,51.55,-9.27,57.2,100,75,26.4,2020-11-01 22:46:25,light intensity drizzle
174,Alofi,NU,-19.06,-169.92,78.8,83,75,13.87,2020-11-01 22:46:25,broken clouds
175,Northglenn,US,39.89,-104.99,64.99,27,20,6.93,2020-11-01 22:41:36,few clouds
176,Asau,RO,46.43,26.4,37.99,93,2,5.84,2020-11-01 22:46:25,clear sky
177,Moosomin,CA,50.13,-101.67,39.61,67,32,11.54,2020-11-01 22:46:26,scattered clouds
178,Mar Del Plata,AR,-38.0,-57.56,60.8,67,0,8.05,2020-11-01 22:46:26,clear sky
179,Nola,IT,40.92,14.53,61.0,82,75,2.24,2020-11-01 22:46:26,broken clouds
180,Luderitz,NA,-26.65,15.16,64.71,55,61,11.81,2020-11-01 22:46:26,broken clouds
181,Shingu,JP,33.73,135.98,63.7,78,4,2.93,2020-11-01 22:46:27,clear sky
182,Russell,US,32.35,-85.2,73.4,49,1,9.17,2020-11-01 22:45:05,clear sky
183,Sorland,NO,67.67,12.69,50.32,78,100,25.55,2020-11-01 22:46:27,overcast clouds
184,Tucuman,AR,-26.82,-65.22,84.2,23,0,10.29,2020-11-01 22:46:28,clear sky
185,Celestun,MX,20.87,-90.4,77.4,78,23,18.03,2020-11-01 22:46:28,few clouds
186,Faya,SA,18.39,42.45,60.8,30,0,1.81,2020-11-01 22:46:29,clear sky
187,Narsaq,GL,60.92,-46.05,21.2,73,0,4.7,2020-11-01 22:46:02,clear sky
188,Hornepayne,CA,49.21,-84.77,21.2,89,100,14.76,2020-11-01 22:46:29,overcast clouds
189,Carnarvon,AU,-24.87,113.63,68.0,72,40,16.11,2020-11-01 22:41:52,scattered clouds
190,Cabo San Lucas,MX,22.89,-109.91,88.0,35,30,4.0,2020-11-01 22:44:01,scattered clouds
191,Itoman,JP,26.12,127.67,71.6,83,20,1.12,2020-11-01 22:46:30,few clouds
192,Urumqi,CN,43.8,87.6,35.6,59,0,6.71,2020-11-01 22:46:30,clear sky
193,Yenagoa,NG,4.92,6.26,76.06,93,99,3.24,2020-11-01 22:46:30,overcast clouds
194,Zolochiv,UA,49.81,24.89,32.0,87,0,2.24,2020-11-01 22:46:31,mist
195,Athabasca,CA,54.72,-113.29,57.2,54,23,6.93,2020-11-01 22:41:59,few clouds
196,Deputatskiy,RU,69.3,139.9,-15.83,88,56,6.51,2020-11-01 22:46:31,broken clouds
197,Albertville,US,34.27,-86.21,66.2,36,1,14.99,2020-11-01 22:46:32,clear sky
198,Naze,JP,28.37,129.48,73.4,94,40,11.41,2020-11-01 22:46:32,scattered clouds
199,Kimbe,PG,-5.55,150.14,86.85,64,4,2.17,2020-11-01 22:46:32,light rain
200,Ola,RU,59.58,151.28,30.06,93,99,8.32,2020-11-01 22:44:28,overcast clouds
201,Mahajanga,MG,-15.72,46.32,75.2,73,20,2.24,2020-11-01 22:46:33,few clouds
202,Katangli,RU,51.71,143.23,43.84,96,100,13.31,2020-11-01 22:46:33,overcast clouds
203,Airai,TL,-8.93,125.41,68.5,67,67,2.64,2020-11-01 22:46:34,broken clouds
204,Lashma,RU,54.93,41.14,42.82,94,100,6.49,2020-11-01 22:46:34,overcast clouds
205,Bathsheba,BB,13.22,-59.52,82.4,78,40,23.04,2020-11-01 22:46:34,shower rain
206,Valparaiso,CL,-33.04,-71.63,57.2,71,0,5.82,2020-11-01 22:46:24,clear sky
207,San Cristobal,VE,7.77,-72.22,82.4,74,40,6.93,2020-11-01 22:45:08,scattered clouds
208,Doha,QA,25.29,51.53,78.8,61,0,3.36,2020-11-01 22:46:35,clear sky
209,Pacific Grove,US,36.62,-121.92,66.2,59,1,5.82,2020-11-01 22:42:20,clear sky
210,Huarmey,PE,-10.07,-78.15,64.45,76,100,8.21,2020-11-01 22:46:35,overcast clouds
211,Maiduguri,NG,11.85,13.16,76.8,28,30,7.99,2020-11-01 22:46:36,scattered clouds
212,Zhigansk,RU,66.77,123.37,-0.63,92,88,18.9,2020-11-01 22:45:36,overcast clouds
213,Saint George,US,37.1,-113.58,80.01,10,1,3.71,2020-11-01 22:46:05,clear sky
214,Kitui,KE,-1.37,38.01,65.5,92,39,7.83,2020-11-01 22:46:37,light rain
215,Quatre Cocos,MU,-20.21,57.76,69.8,68,40,9.17,2020-11-01 22:46:37,scattered clouds
216,Coquimbo,CL,-29.95,-71.34,55.4,82,75,12.75,2020-11-01 22:41:51,broken clouds
217,Mantua,IT,45.17,10.78,55.0,96,27,1.99,2020-11-01 22:46:37,scattered clouds
218,Saint Anthony,US,45.02,-93.22,37.4,29,1,10.29,2020-11-01 22:46:30,clear sky
219,Kilindoni,TZ,-7.91,39.67,78.3,79,29,10.18,2020-11-01 22:46:42,scattered clouds
220,Vanavara,RU,60.34,102.28,16.12,96,100,10.58,2020-11-01 22:46:42,light snow
221,Rincon,US,32.3,-81.24,71.6,60,75,11.41,2020-11-01 22:44:29,broken clouds
222,Sibolga,ID,1.74,98.78,75.97,84,100,2.13,2020-11-01 22:46:42,overcast clouds
223,Ndioum,SN,16.51,-14.65,86.0,35,0,2.24,2020-11-01 22:46:43,clear sky
224,San Patricio,US,28.02,-97.52,80.6,39,20,14.99,2020-11-01 22:45:48,few clouds
225,Danilov,RU,58.19,40.17,35.6,80,90,6.71,2020-11-01 22:46:43,overcast clouds
226,Bethel,US,41.37,-73.41,52.0,93,90,4.7,2020-11-01 22:45:58,mist
227,Itamarandiba,BR,-17.86,-42.86,63.07,98,89,3.09,2020-11-01 22:46:43,overcast clouds
228,Iqaluit,CA,63.75,-68.51,12.2,85,75,4.7,2020-11-01 22:42:59,light snow
229,Amga,RU,60.9,131.96,-14.49,88,46,1.59,2020-11-01 22:46:44,scattered clouds
230,Hambantota,LK,6.12,81.12,77.0,100,40,1.12,2020-11-01 22:46:44,scattered clouds
231,Balkanabat,TM,39.51,54.37,68.67,28,0,4.18,2020-11-01 22:46:44,clear sky
232,Kranea Elassonos,GR,39.95,21.97,55.0,81,45,4.7,2020-11-01 22:46:45,light rain
233,Bushehr,IR,28.97,50.84,73.04,52,0,3.74,2020-11-01 22:46:45,clear sky
234,Tromso,NO,69.65,18.96,35.6,80,0,26.4,2020-11-01 22:46:45,clear sky
235,Lata,PT,40.16,-8.33,66.0,93,97,0.69,2020-11-01 22:46:45,overcast clouds
236,Ancud,CL,-41.87,-73.82,60.01,72,57,6.93,2020-11-01 22:46:46,broken clouds
237,Maldonado,UY,-34.67,-54.92,62.6,72,0,2.24,2020-11-01 22:46:46,clear sky
238,Longyearbyen,SJ,78.22,15.64,33.8,69,0,31.09,2020-11-01 22:45:49,clear sky
239,Mahibadhoo,MV,3.78,72.97,81.88,73,73,5.77,2020-11-01 22:43:29,broken clouds
240,Ahipara,NZ,-35.17,173.17,71.15,65,100,7.99,2020-11-01 22:46:47,overcast clouds
241,Tasiilaq,GL,65.61,-37.64,26.6,86,70,9.17,2020-11-01 22:46:47,broken clouds
242,Miri,MY,4.41,114.01,77.0,88,40,5.82,2020-11-01 22:46:47,scattered clouds
243,Chowchilla,US,37.12,-120.26,82.0,24,1,6.93,2020-11-01 22:46:48,haze
244,Carquefou,FR,47.3,-1.49,64.4,88,0,16.11,2020-11-01 22:46:48,clear sky
