City_ID,City,Country,Max Temp,Currrent Description,Lat,Lng,Hotel Name
492,Moranbah,AU,82.92,clear sky,-22.0,148.05,Direct Hotels - Monterey Moranbah
495,Cam Ranh,VN,80.6,scattered clouds,11.92,109.16,OYO 598 Peony Hotel
498,Tayu,ID,76.96,overcast clouds,-6.54,111.05,Toko pakaian bu is Tayu
501,Byron Bay,AU,75.99,scattered clouds,-28.65,153.62,Backpackers Inn on the Beach
505,Kokoda,PG,85.24,broken clouds,-8.88,147.74,Daito Guest House
507,Nargana,PA,79.88,overcast clouds,9.44,-78.59,Dubbir
509,Port Blair,IN,79.63,scattered clouds,11.67,92.75,Fortune Resort Bay Island
510,Porto Velho,BR,80.6,broken clouds,-8.76,-63.9,Hotel Vila Rica Porto Velho
516,Padang,ID,77.63,overcast clouds,-0.95,100.35,Mercure Padang
517,Kudahuvadhoo,MV,82.26,few clouds,2.67,72.89,Kudahuvadhoo Retreat
519,Oriximina,BR,86.18,few clouds,-1.77,-55.87,Pousada Tia Amélia
522,Umm Lajj,SA,77.83,clear sky,25.02,37.27,Moon light Furnished Units
529,Maraa,BR,76.26,clear sky,-1.83,-65.37,
535,Tarpon Springs,US,78.01,clear sky,28.15,-82.76,"Innisbrook, A Salamander Golf and Spa Resort"
537,Srandakan,ID,76.98,moderate rain,-7.94,110.25,Puri Brata
538,Mecca,SA,78.28,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
541,Carora,VE,79.81,broken clouds,10.18,-70.08,Hotel Irpinia
542,Port Moresby,PG,86.0,haze,-9.44,147.18,Lamana Hotel
543,Biak,ID,80.08,overcast clouds,-0.91,122.88,Kost Ariz
551,Hillsborough,US,78.01,broken clouds,37.57,-122.38,Hyatt Regency San Francisco Airport
559,Namatanai,PG,85.62,broken clouds,-3.67,152.43,Namatanai Hotel
560,Dicabisagan,PH,79.03,overcast clouds,17.08,122.42,Nancy Montanes Bernardo
563,Comodoro Rivadavia,AR,77.0,clear sky,-45.87,-67.5,Austral Hotel
564,Trincomalee,LK,78.39,few clouds,8.57,81.23,Welcombe Hotel
569,Loandjili,CG,78.8,broken clouds,-4.76,11.86,Résidence ARCHANGE
570,Porto Novo,BJ,79.23,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
576,Pundaguitan,PH,83.12,overcast clouds,6.37,126.17,Leonardo Family Beach House 1
